contact_id	probe_id	bank_id	pin_id	connector_aligned_id	impedance	length	impedance_unit	length_unit
1	1	1	1	91	52.0	1.5	kOhm	mm
2	1	1	2	92	44.0	1.5	kOhm	mm
3	1	1	3	94	50.0	1.5	kOhm	mm
4	1	1	4	1	48.0	1.5	kOhm	mm
5	1	1	5	75	48.0	1.5	kOhm	mm
6	1	1	6	96	46.0	1.5	kOhm	mm
7	1	1	7	85	49.0	1.5	kOhm	mm
8	1	1	8	97	47.0	1.5	kOhm	mm
9	1	1	9	86	48.0	1.5	kOhm	mm
10	1	1	10	98	48.0	1.5	kOhm	mm
11	1	1	11	87	50.0	1.5	kOhm	mm
12	1	1	12	88	50.0	1.5	kOhm	mm
13	1	1	13	77	41.0	1.5	kOhm	mm
14	1	1	14	99	53.0	1.5	kOhm	mm
15	1	1	15	66	46.0	1.5	kOhm	mm
16	1	1	16	89	48.0	1.5	kOhm	mm
17	1	1	17	76	50.0	1.5	kOhm	mm
18	1	1	18	100	55.0	1.5	kOhm	mm
19	1	1	19	67	52.0	1.5	kOhm	mm
20	1	1	20	79	47.0	1.5	kOhm	mm
21	1	1	21	58	55.0	1.5	kOhm	mm
22	1	1	22	10	57.0	1.5	kOhm	mm
23	1	1	23	78	45.0	1.5	kOhm	mm
24	1	1	24	70	53.0	1.5	kOhm	mm
25	1	1	25	68	47.0	1.5	kOhm	mm
26	1	1	26	60	52.0	1.5	kOhm	mm
27	1	1	27	69	46.0	1.5	kOhm	mm
28	1	1	28	50	53.0	1.5	kOhm	mm
29	1	1	29	59	52.0	1.5	kOhm	mm
30	1	1	30	40	51.0	1.5	kOhm	mm
31	1	1	31	49	49.0	1.5	kOhm	mm
32	1	1	32	30	49.0	1.5	kOhm	mm
33	1	2	1	83	44.0	1.5	kOhm	mm
34	1	2	2	84	45.0	1.5	kOhm	mm
35	1	2	3	73	48.0	1.5	kOhm	mm
36	1	2	4	74	48.0	1.5	kOhm	mm
37	1	2	5	63	47.0	1.5	kOhm	mm
38	1	2	6	64	49.0	1.5	kOhm	mm
39	1	2	7	53	46.0	1.5	kOhm	mm
40	1	2	8	54	43.0	1.5	kOhm	mm
41	1	2	9	43	45.0	1.5	kOhm	mm
42	1	2	10	55	48.0	1.5	kOhm	mm
43	1	2	11	44	49.0	1.5	kOhm	mm
44	1	2	12	45	46.0	1.5	kOhm	mm
45	1	2	13	33	45.0	1.5	kOhm	mm
46	1	2	14	46	48.0	1.5	kOhm	mm
47	1	2	15	34	48.0	1.5	kOhm	mm
48	1	2	16	65	45.0	1.5	kOhm	mm
49	1	2	17	24	52.0	1.5	kOhm	mm
50	1	2	18	56	43.0	1.5	kOhm	mm
51	1	2	19	35	48.0	1.5	kOhm	mm
52	1	2	20	47	49.0	1.5	kOhm	mm
53	1	2	21	25	44.0	1.5	kOhm	mm
54	1	2	22	57	43.0	1.5	kOhm	mm
55	1	2	23	26	48.0	1.5	kOhm	mm
56	1	2	24	36	51.0	1.5	kOhm	mm
57	1	2	25	27	90.0	1.5	kOhm	mm
58	1	2	26	37	51.0	1.5	kOhm	mm
59	1	2	27	28	48.0	1.5	kOhm	mm
60	1	2	28	38	48.0	1.5	kOhm	mm
61	1	2	29	29	51.0	1.5	kOhm	mm
62	1	2	30	48	49.0	1.5	kOhm	mm
63	1	2	31	19	50.0	1.5	kOhm	mm
64	1	2	32	39	47.0	1.5	kOhm	mm
65	1	3	1	81	46.0	1.5	kOhm	mm
66	1	3	2	82	48.0	1.5	kOhm	mm
67	1	3	3	71	47.0	1.5	kOhm	mm
68	1	3	4	72	48.0	1.5	kOhm	mm
69	1	3	5	61	67.0	1.5	kOhm	mm
70	1	3	6	62	52.0	1.5	kOhm	mm
71	1	3	7	51	49.0	1.5	kOhm	mm
72	1	3	8	52	45.0	1.5	kOhm	mm
73	1	3	9	41	48.0	1.5	kOhm	mm
74	1	2	4	42	44.0	1.5	kOhm	mm
75	1	3	11	31	57.0	1.5	kOhm	mm
76	1	3	12	32	47.0	1.5	kOhm	mm
77	1	3	13	21	46.0	1.5	kOhm	mm
78	1	3	14	22	48.0	1.5	kOhm	mm
79	1	3	15	11	49.0	1.5	kOhm	mm
80	1	3	16	12	45.0	1.5	kOhm	mm
81	1	3	17	2	54.0	1.5	kOhm	mm
82	1	3	18	23	48.0	1.5	kOhm	mm
83	1	3	19	3	51.0	1.5	kOhm	mm
84	1	3	20	13	49.0	1.5	kOhm	mm
85	1	3	21	4	49.0	1.5	kOhm	mm
86	1	3	22	14	50.0	1.5	kOhm	mm
87	1	3	23	15	52.0	1.5	kOhm	mm
88	1	3	24	5	50.0	1.5	kOhm	mm
89	1	3	25	16	50.0	1.5	kOhm	mm
90	1	3	26	6	49.0	1.5	kOhm	mm
91	1	3	27	17	49.0	1.5	kOhm	mm
92	1	3	28	7	51.0	1.5	kOhm	mm
93	1	3	29	8	52.0	1.5	kOhm	mm
94	1	3	30	18	53.0	1.5	kOhm	mm
95	1	3	31	20	53.0	1.5	kOhm	mm
96	1	3	32	9	54.0	1.5	kOhm	mm
